date_month,RR,NBJRR1,NBJRR5,NBJRR10,NBJBROU
1962-05-01,3.66,9.0,2.0,0.0,0.0
1962-06-01,0.71,2.0,1.0,0.0,0.0
1962-07-01,4.8100000000000005,9.0,4.0,1.0,0.0
1962-08-01,2.79,7.0,2.0,1.0,0.0
1962-09-01,3.2600000000000002,6.0,2.0,1.0,0.0
1962-10-01,2.46,3.0,2.0,1.0,0.0
1962-11-01,7.590000000000001,14.0,6.0,1.0,0.0
1962-12-01,3.07,7.0,2.0,0.0,0.0
1963-01-01,1.04,2.0,1.0,0.0,0.0
1963-02-01,2.05,6.0,2.0,0.0,0.0
1963-03-01,5.11,10.0,4.0,1.0,0.0
1963-04-01,3.96,10.0,1.0,0.0,0.0
1963-05-01,4.9,7.0,3.0,2.0,0.0
1963-06-01,10.370000000000001,12.0,6.0,4.0,0.0
1963-07-01,2.43,2.0,1.0,1.0,0.0
1963-08-01,11.53,15.0,8.0,3.0,0.0
1963-09-01,2.8,7.0,2.0,0.0,0.0
1963-10-01,1.3,5.0,0.0,0.0,0.0
1963-11-01,6.81,14.0,5.0,1.0,0.0
1963-12-01,0.27999999999999997,2.0,0.0,0.0,0.0
1964-01-01,1.9,2.0,1.0,1.0,0.0
1964-02-01,3.6399999999999997,6.0,5.0,0.0,0.0
1964-03-01,3.79,9.0,4.0,0.0,0.0
1964-04-01,4.79,10.0,4.0,1.0,0.0
1964-05-01,5.6,7.0,4.0,2.0,0.0
1964-06-01,3.5,7.0,3.0,1.0,0.0
1964-07-01,2.55,4.0,2.0,1.0,0.0
1964-08-01,2.42,4.0,2.0,1.0,0.0
1964-09-01,3.34,3.0,3.0,1.0,0.0
1964-10-01,4.45,9.0,2.0,1.0,0.0
1964-11-01,4.279999999999999,7.0,4.0,1.0,0.0
1964-12-01,3.37,13.0,1.0,0.0,0.0
1965-01-01,8.57,16.0,5.0,2.0,0.0
1965-02-01,0.48,2.0,0.0,0.0,0.0
1965-03-01,6.029999999999999,13.0,4.0,2.0,0.0
1965-04-01,3.95,12.0,1.0,0.0,0.0
